,floor,base_link,shoulder_link,upperarm_link1,upperarm_link2,upperarm_link3,forearm_link1,forearm_link2,forearm_link3,wrist1_link,wrist2_link,palm,thumb_link_2,thumb_link_3,index_link_1,index_link_2,index_link_3,middle_link_1,middle_link_2,middle_link_3,ring_link_1,ring_link_2,ring_link_3,little_link_1,little_link_2,little_link_3,cube
floor,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_link,0,,,,,,,,,,,,,,,,,,,,,,,,,,
shoulder_link,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
upperarm_link1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
upperarm_link2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
upperarm_link3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
forearm_link1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
forearm_link2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
forearm_link3,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
wrist1_link,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,
wrist2_link,1,1,0,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,,
palm,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
thumb_link_2,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,
thumb_link_3,1,1,1,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,
index_link_1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,
index_link_2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,
index_link_3,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,,,,,,,,,,,
middle_link_1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,,,,,,,,,,
middle_link_2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,,,,,,,,,
middle_link_3,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,,,,,,,,
ring_link_1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,,,,,,,
ring_link_2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,,,,,,
ring_link_3,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,,,,,
little_link_1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,
little_link_2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,
little_link_3,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,,
cube,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
total,189,,,,,,,,,,,,,,,,,,,,,,,,,,
